,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
193,399106.SZ,20200115,1814.2135,1816.3345,1819.0925,1800.6388,1818.1251,-3.9116,-0.2151,331233272.0,378160533.5
194,399106.SZ,20200114,1818.1251,1828.069,1829.5049,1817.2415,1822.3517,-4.2266,-0.2319,377298121.0,430400617.7
195,399106.SZ,20200113,1822.3517,1798.9088,1822.3517,1791.1742,1797.8838,24.4679,1.3609,345273662.0,409505555.3
196,399106.SZ,20200110,1797.8838,1805.412,1806.3668,1790.3919,1800.6378,-2.754,-0.1529,355689713.0,398600767.1
197,399106.SZ,20200109,1800.6378,1784.4724,1800.6378,1784.4724,1769.5837,31.0541,1.7549,396591114.0,434903322.2
198,399106.SZ,20200108,1769.5837,1783.5979,1793.7204,1765.1533,1791.8529,-22.2692,-1.2428,462506909.0,472740643.3
199,399106.SZ,20200107,1791.8529,1771.9492,1791.8529,1771.9272,1768.6836,23.1693,1.31,414499627.0,444165761.1
200,399106.SZ,20200106,1768.6836,1751.2515,1782.3243,1747.3461,1760.8531,7.8305,0.4447,438998251.0,472875865.4
201,399106.SZ,20200103,1760.8531,1759.7729,1764.585,1750.1809,1756.1626,4.6905,0.2671,373603938.0,405390005.6
202,399106.SZ,20200102,1756.1626,1734.6311,1758.3361,1730.1586,1722.945,33.2176,1.928,392795173.0,424335172.8
203,399106.SZ,20191231,1722.945,1712.5224,1722.945,1711.0751,1713.5075,9.4375,0.5508,282427717.0,305890410.3
204,399106.SZ,20191230,1713.5075,1691.6528,1713.5075,1676.2285,1697.9136,15.5939,0.9184,322844925.0,343640782.7
205,399106.SZ,20191227,1697.9136,1712.2009,1720.8037,1696.8648,1709.4504,-11.5368,-0.6749,351676420.0,373901862.6
206,399106.SZ,20191226,1709.4504,1697.7556,1709.4504,1696.0327,1697.2079,12.2425,0.7213,292929051.0,308016593.9
207,399106.SZ,20191225,1697.2079,1689.1273,1700.9571,1687.6762,1690.7352,6.4727,0.3828,290734473.0,313586440.0
208,399106.SZ,20191224,1690.7352,1670.5946,1690.7352,1669.4075,1667.7109,23.0243,1.3806,264154341.0,274945995.8
209,399106.SZ,20191223,1667.7109,1695.0083,1699.465,1666.8581,1700.2936,-32.5827,-1.9163,308439136.0,318724069.5
210,399106.SZ,20191220,1700.2936,1714.4269,1719.7051,1700.2936,1713.0335,-12.7399,-0.7437,345290001.0,347274849.0
